,Senador,Asistencia,Inasistencias justificadas
0,"Allamand Zavala, Andrés",82.0,0.0
1,"Alvear Valenzuela, Soledad",75.0,0.0
2,"Arancibia Reyes, Jorge",88.0,0.0
3,"Ávila Contreras, Nelson",80.0,0.0
4,"Bianchi Chelech, Carlos",81.0,0.0
5,"Cantero Ojeda, Carlos",76.0,0.0
6,"Chadwick Piñera, Andrés",88.0,0.0
7,"Coloma Correa, Juan Antonio",85.0,0.0
8,"Escalona Medina, Camilo",86.0,0.0
9,"Espina Otero, Alberto",87.0,0.0
10,"Flores Labra, Fernando",75.0,0.0
11,"Frei Ruiz-Tagle, Eduardo",84.0,0.0
12,"García Ruminot, José",88.0,0.0
13,"Gazmuri Mujica, Jaime",81.0,0.0
14,"Girardi Lavín, Guido",73.0,0.0
15,"Gómez Urrutia, José Antonio",83.0,0.0
16,"Horvath Kiss, Antonio",83.0,0.0
17,"Kuschel Silva, Carlos Ignacio",89.0,0.0
18,"Larraín Fernández, Hernán",86.0,0.0
19,"Letelier Morel, Juan Pablo",78.0,0.0
20,"Longueira Montes, Pablo",80.0,0.0
21,"Matthei Fornet, Evelyn",87.0,0.0
22,"Muñoz Aburto, Pedro",82.0,0.0
23,"Muñoz Barra, Roberto",73.0,2.0
24,"Naranjo Ortiz, Jaime",75.0,0.0
25,"Navarro Brain, Alejandro",78.0,0.0
26,"Novoa Vásquez, Jovino",81.0,0.0
27,"Núñez Muñoz, Ricardo",83.0,0.0
28,"Ominami Pascual, Carlos",81.0,0.0
29,"Orpis Bouchon, Jaime",89.0,0.0
30,"Pérez Varela, Víctor",89.0,0.0
31,"Pizarro Soto, Jorge",68.0,0.0
32,"Prokurica Prokurica, Baldo",87.0,3.0
33,"Romero Pizarro, Sergio",84.0,5.0
34,"Ruiz-Esquide Jara, Mariano",85.0,0.0
35,"Sabag Castillo, Hosaín",89.0,0.0
36,"Vásquez Úbeda, Guillermo",87.0,0.0
37,"Zaldívar Larraín, Adolfo",79.0,1.0
