,Senador,Asistencia,Inasistencias justificadas
0,"Allamand Zavala, Andrés",1.0,0.0
1,"Allende Bussi, Isabel",77.0,17.0
2,"Alvear Valenzuela, Soledad",91.0,0.0
3,"Bianchi Chelech, Carlos",90.0,0.0
4,"Cantero Ojeda, Carlos",80.0,14.0
5,"Chadwick Piñera, Andrés",0.0,0.0
6,"Chahuán Chahuán, Francisco",102.0,1.0
7,"Coloma Correa, Juan Antonio",101.0,0.0
8,"Escalona Medina, Camilo",102.0,0.0
9,"Espina Otero, Alberto",98.0,1.0
10,"Frei Ruiz-Tagle, Eduardo",92.0,3.0
11,"García Huidobro Sanfuentes, Alejandro",100.0,0.0
12,"García Ruminot, José",97.0,6.0
13,"Girardi Lavín, Guido",90.0,0.0
14,"Gómez Urrutia, José Antonio",102.0,0.0
15,"Horvath Kiss, Antonio",89.0,0.0
16,"Kuschel Silva, Carlos Ignacio",95.0,0.0
17,"Lagos Weber, Ricardo",103.0,0.0
18,"Larraín Fernández, Hernán",98.0,5.0
19,"Larrain Peña, Carlos",80.0,0.0
20,"Letelier Morel, Juan Pablo",91.0,0.0
21,"Longueira Montes, Pablo",0.0,0.0
22,"Matthei Fornet, Evelyn",0.0,0.0
23,"Muñoz Aburto, Pedro",97.0,0.0
24,"Navarro Brain, Alejandro",69.0,22.0
25,"Novoa Vásquez, Jovino",90.0,11.0
26,"Orpis Bouchon, Jaime",102.0,0.0
27,"Pérez San Martín, Lily",87.0,0.0
28,"Pérez Varela, Víctor",97.0,0.0
29,"Pizarro Soto, Jorge",95.0,0.0
30,"Prokurica Prokurica, Baldo",99.0,0.0
31,"Quintana Leal, Jaime",99.0,0.0
32,"Rincón González, Ximena",103.0,0.0
33,"Rossi Ciocca, Fulvio",93.0,0.0
34,"Ruiz-Esquide Jara, Mariano",90.0,12.0
35,"Sabag Castillo, Hosaín",102.0,0.0
36,"Tuma Zedán, Eugenio",98.0,0.0
37,"Uriarte Herrera, Gonzalo",97.0,0.0
38,"Von Baer Jahn, Ena",102.0,0.0
39,"Walker Prieto, Ignacio",101.0,0.0
40,"Walker Prieto, Patricio",100.0,0.0
41,"Zaldívar Larraín, Andrés",99.0,0.0
