,Senador,Asistencia,Inasistencias justificadas
0,"Allamand Zavala, Andrés",71.0,0.0
1,"Alvear Valenzuela, Soledad",65.0,22.0
2,"Arancibia Reyes, Jorge",80.0,0.0
3,"Ávila Contreras, Nelson",69.0,8.0
4,"Bianchi Chelech, Carlos",85.0,0.0
5,"Cantero Ojeda, Carlos",81.0,1.0
6,"Chadwick Piñera, Andrés",77.0,0.0
7,"Coloma Correa, Juan Antonio",81.0,1.0
8,"Escalona Medina, Camilo",83.0,0.0
9,"Espina Otero, Alberto",71.0,0.0
10,"Flores Labra, Fernando",68.0,7.0
11,"Frei Ruiz-Tagle, Eduardo",56.0,0.0
12,"García Ruminot, José",83.0,0.0
13,"Gazmuri Mujica, Jaime",76.0,2.0
14,"Girardi Lavín, Guido",74.0,4.0
15,"Gómez Urrutia, José Antonio",82.0,0.0
16,"Horvath Kiss, Antonio",80.0,0.0
17,"Kuschel Silva, Carlos Ignacio",86.0,0.0
18,"Larraín Fernández, Hernán",69.0,3.0
19,"Letelier Morel, Juan Pablo",73.0,0.0
20,"Longueira Montes, Pablo",78.0,0.0
21,"Matthei Fornet, Evelyn",79.0,3.0
22,"Muñoz Aburto, Pedro",79.0,0.0
23,"Muñoz Barra, Roberto",60.0,0.0
24,"Naranjo Ortiz, Jaime",65.0,0.0
25,"Navarro Brain, Alejandro",58.0,1.0
26,"Novoa Vásquez, Jovino",82.0,0.0
27,"Núñez Muñoz, Ricardo",76.0,0.0
28,"Ominami Pascual, Carlos",77.0,1.0
29,"Orpis Bouchon, Jaime",84.0,0.0
30,"Pérez Varela, Víctor",78.0,2.0
31,"Pizarro Soto, Jorge",75.0,1.0
32,"Prokurica Prokurica, Baldo",84.0,1.0
33,"Romero Pizarro, Sergio",77.0,8.0
34,"Ruiz-Esquide Jara, Mariano",76.0,0.0
35,"Sabag Castillo, Hosaín",87.0,0.0
36,"Vásquez Úbeda, Guillermo",75.0,3.0
37,"Zaldívar Larraín, Adolfo",79.0,0.0
