,Senador,Asistencia,Inasistencias justificadas
0,"Allamand Zavala, Andrés",87.0,0.0
1,"Allende Bussi, Isabel",94.0,5.0
2,"Araya Guerrero, Pedro",96.0,0.0
3,"Bianchi Chelech, Carlos",91.0,0.0
4,"Chahuán Chahuán, Francisco",99.0,0.0
5,"Coloma Correa, Juan Antonio",98.0,0.0
6,"De Urresti Longton, Alfonso",96.0,0.0
7,"Espina Otero, Alberto",95.0,1.0
8,"García Huidobro Sanfuentes, Alejandro",97.0,0.0
9,"García Ruminot, José",97.0,0.0
10,"Girardi Lavín, Guido",90.0,0.0
11,"Goic Boroevic, Carolina",92.0,3.0
12,"Guillier Álvarez, Alejandro",96.0,0.0
13,"Harboe Bascuñán, Felipe",92.0,2.0
14,"Horvath Kiss, Antonio",96.0,0.0
15,"Lagos Weber, Ricardo",99.0,0.0
16,"Larraín Fernández, Hernán",96.0,2.0
17,"Letelier Morel, Juan Pablo",90.0,2.0
18,"Montes Cisternas, Carlos",97.0,0.0
19,"Moreira Barros, Iván",95.0,2.0
20,"Muñoz D`Albora, Adriana",94.0,2.0
21,"Navarro Brain, Alejandro",89.0,0.0
22,"Orpis Bouchon, Jaime",96.0,0.0
23,"Ossandón Irarrázabal, Manuel José",91.0,2.0
24,"Pérez San Martín, Lily",94.0,0.0
25,"Pérez Varela, Víctor",93.0,0.0
26,"Pizarro Soto, Jorge",91.0,6.0
27,"Prokurica Prokurica, Baldo",99.0,0.0
28,"Quintana Leal, Jaime",95.0,0.0
29,"Quinteros Lara, Rabindranath",88.0,9.0
30,"Rincón González, Ximena",1.0,0.0
31,"Rossi Ciocca, Fulvio",85.0,3.0
32,"Tuma Zedán, Eugenio",94.0,0.0
33,"Van Rysselberghe Herrera, Jacqueline",89.0,0.0
34,"Von Baer Jahn, Ena",91.0,0.0
35,"Walker Prieto, Ignacio",94.0,2.0
36,"Walker Prieto, Patricio",94.0,1.0
37,"Zaldívar Larraín, Andrés",95.0,0.0
