,Senador,Asistencia,Inasistencias justificadas
0,"Allamand Zavala, Andrés",85.0,4.0
1,"Allende Bussi, Isabel",70.0,26.0
2,"Aravena Acuña, Carmen Gloria",89.0,0.0
3,"Araya Guerrero, Pedro",79.0,12.0
4,"Bianchi Chelech, Carlos",94.0,0.0
5,"Carvajal Ambiado, Loreto",0.0,0.0
6,"Castro Prieto, Juan",87.0,0.0
7,"Chahuán Chahuán, Francisco",92.0,3.0
8,"Coloma Correa, Juan Antonio",90.0,5.0
9,"De Urresti Longton, Alfonso",88.0,6.0
10,"Durana Semir, José Miguel",90.0,0.0
11,"Ebensperger Orrego, Luz Eliana",93.0,0.0
12,"Elizalde Soto, Alvaro",95.0,0.0
13,"Galilea Vial, Rodrigo",94.0,0.0
14,"García Huidobro Sanfuentes, Alejandro",82.0,10.0
15,"García Ruminot, José",93.0,2.0
16,"Girardi Lavín, Guido",80.0,11.0
17,"Goic Boroevic, Carolina",84.0,0.0
18,"Guillier Álvarez, Alejandro",84.0,0.0
19,"Harboe Bascuñán, Felipe",79.0,1.0
20,"Huenchumilla Jaramillo, Francisco",91.0,5.0
21,"Insulza Salinas, José Miguel",85.0,3.0
22,"Kast Sommerhoff, Felipe",84.0,9.0
23,"Lagos Weber, Ricardo",91.0,2.0
24,"Latorre Riveros, Juan Ignacio",90.0,3.0
25,"Letelier Morel, Juan Pablo",84.0,2.0
26,"Montes Cisternas, Carlos",94.0,0.0
27,"Moreira Barros, Iván",78.0,3.0
28,"Muñoz D`Albora, Adriana",91.0,0.0
29,"Navarro Brain, Alejandro",74.0,0.0
30,"Órdenes Neira, Ximena",93.0,0.0
31,"Ossandón Irarrázabal, Manuel José",91.0,0.0
32,"Pérez Varela, Víctor",87.0,5.0
33,"Pizarro Soto, Jorge",88.0,7.0
34,"Prohens Espinosa, Rafael",88.0,3.0
35,"Provoste Campillay, Yasna",94.0,0.0
36,"Pugh Olavarría, Kenneth",93.0,0.0
37,"Quintana Leal, Jaime",93.0,0.0
38,"Quinteros Lara, Rabindranath",81.0,12.0
39,"Rincón González, Ximena",91.0,0.0
40,"Sandoval Plaza, David",94.0,0.0
41,"Soria Quiroga, Jorge",82.0,1.0
42,"Van Rysselberghe Herrera, Jacqueline",80.0,0.0
43,"Von Baer Jahn, Ena",93.0,0.0
