,Senador,Asistencia,Inasistencias justificadas
0,"Allamand Zavala, Andrés",102.0,0.0
1,"Allende Bussi, Isabel",93.0,11.0
2,"Araya Guerrero, Pedro",106.0,0.0
3,"Bianchi Chelech, Carlos",34.0,66.0
4,"Chahuán Chahuán, Francisco",99.0,8.0
5,"Coloma Correa, Juan Antonio",104.0,2.0
6,"De Urresti Longton, Alfonso",103.0,0.0
7,"Espina Otero, Alberto",98.0,0.0
8,"García Huidobro Sanfuentes, Alejandro",102.0,2.0
9,"García Ruminot, José",106.0,0.0
10,"Girardi Lavín, Guido",98.0,5.0
11,"Goic Boroevic, Carolina",102.0,2.0
12,"Guillier Álvarez, Alejandro",102.0,0.0
13,"Harboe Bascuñán, Felipe",102.0,0.0
14,"Horvath Kiss, Antonio",103.0,0.0
15,"Lagos Weber, Ricardo",106.0,0.0
16,"Larraín Fernández, Hernán",103.0,0.0
17,"Letelier Morel, Juan Pablo",97.0,0.0
18,"Montes Cisternas, Carlos",104.0,3.0
19,"Moreira Barros, Iván",104.0,0.0
20,"Muñoz D`Albora, Adriana",104.0,0.0
21,"Navarro Brain, Alejandro",88.0,0.0
22,"Orpis Bouchon, Jaime",59.0,45.0
23,"Ossandón Irarrázabal, Manuel José",98.0,7.0
24,"Pérez San Martín, Lily",105.0,0.0
25,"Pérez Varela, Víctor",104.0,0.0
26,"Pizarro Soto, Jorge",106.0,0.0
27,"Prokurica Prokurica, Baldo",107.0,0.0
28,"Quintana Leal, Jaime",104.0,0.0
29,"Quinteros Lara, Rabindranath",106.0,0.0
30,"Rincón González, Ximena",0.0,0.0
31,"Rossi Ciocca, Fulvio",66.0,27.0
32,"Tuma Zedán, Eugenio",103.0,2.0
33,"Van Rysselberghe Herrera, Jacqueline",96.0,4.0
34,"Von Baer Jahn, Ena",101.0,0.0
35,"Walker Prieto, Ignacio",105.0,0.0
36,"Walker Prieto, Patricio",102.0,3.0
37,"Zaldívar Larraín, Andrés",102.0,0.0
