,Senador,Asistencia,Inasistencias justificadas
0,"Allamand Zavala, Andrés",78.0,0.0
1,"Allende Bussi, Isabel",73.0,14.0
2,"Araya Guerrero, Pedro",83.0,0.0
3,"Bianchi Chelech, Carlos",83.0,1.0
4,"Chahuán Chahuán, Francisco",86.0,1.0
5,"Coloma Correa, Juan Antonio",81.0,7.0
6,"De Urresti Longton, Alfonso",72.0,14.0
7,"Espina Otero, Alberto",81.0,3.0
8,"García Huidobro Sanfuentes, Alejandro",85.0,2.0
9,"García Ruminot, José",85.0,2.0
10,"Girardi Lavín, Guido",81.0,0.0
11,"Goic Boroevic, Carolina",75.0,2.0
12,"Guillier Álvarez, Alejandro",84.0,0.0
13,"Harboe Bascuñán, Felipe",77.0,0.0
14,"Horvath Kiss, Antonio",84.0,0.0
15,"Lagos Weber, Ricardo",80.0,6.0
16,"Larraín Fernández, Hernán",82.0,5.0
17,"Letelier Morel, Juan Pablo",80.0,0.0
18,"Montes Cisternas, Carlos",85.0,2.0
19,"Moreira Barros, Iván",81.0,0.0
20,"Muñoz D`Albora, Adriana",85.0,1.0
21,"Navarro Brain, Alejandro",73.0,0.0
22,"Orpis Bouchon, Jaime",11.0,70.0
23,"Ossandón Irarrázabal, Manuel José",81.0,1.0
24,"Pérez San Martín, Lily",82.0,0.0
25,"Pérez Varela, Víctor",83.0,1.0
26,"Pizarro Soto, Jorge",82.0,0.0
27,"Prokurica Prokurica, Baldo",86.0,0.0
28,"Quintana Leal, Jaime",87.0,0.0
29,"Quinteros Lara, Rabindranath",85.0,1.0
30,"Rincón González, Ximena",0.0,0.0
31,"Rossi Ciocca, Fulvio",73.0,0.0
32,"Tuma Zedán, Eugenio",84.0,0.0
33,"Van Rysselberghe Herrera, Jacqueline",79.0,2.0
34,"Von Baer Jahn, Ena",80.0,0.0
35,"Walker Prieto, Ignacio",87.0,0.0
36,"Walker Prieto, Patricio",82.0,0.0
37,"Zaldívar Larraín, Andrés",74.0,11.0
