,Senador,Asistencia,Inasistencias justificadas
0,"Allende Bussi, Isabel",130.0,3.0
1,"Alvarado Andrade, Claudio",131.0,0.0
2,"Aravena Acuña, Carmen Gloria",130.0,0.0
3,"Araya Guerrero, Pedro",122.0,0.0
4,"Bianchi Chelech, Carlos",119.0,0.0
5,"Carvajal Ambiado, Loreto",134.0,0.0
6,"Castro Prieto, Juan",120.0,0.0
7,"Chahuán Chahuán, Francisco",132.0,7.0
8,"Coloma Correa, Juan Antonio",134.0,3.0
9,"De Urresti Longton, Alfonso",125.0,0.0
10,"Durana Semir, José Miguel",135.0,0.0
11,"Ebensperger Orrego, Luz Eliana",136.0,0.0
12,"Elizalde Soto, Alvaro",134.0,6.0
13,"Galilea Vial, Rodrigo",128.0,0.0
14,"García Huidobro Sanfuentes, Alejandro",130.0,0.0
15,"García Ruminot, José",134.0,0.0
16,"Girardi Lavín, Guido",124.0,0.0
17,"Goic Boroevic, Carolina",131.0,0.0
18,"Guillier Álvarez, Alejandro",116.0,0.0
19,"Huenchumilla Jaramillo, Francisco",114.0,6.0
20,"Insulza Salinas, José Miguel",124.0,0.0
21,"Kast Sommerhoff, Felipe",108.0,0.0
22,"Lagos Weber, Ricardo",117.0,6.0
23,"Latorre Riveros, Juan Ignacio",134.0,3.0
24,"Letelier Morel, Juan Pablo",108.0,0.0
25,"Montes Cisternas, Carlos",133.0,0.0
26,"Moreira Barros, Iván",117.0,0.0
27,"Muñoz D`Albora, Adriana",116.0,0.0
28,"Navarro Brain, Alejandro",109.0,2.0
29,"Órdenes Neira, Ximena",133.0,0.0
30,"Ossandón Irarrázabal, Manuel José",135.0,0.0
31,"Pizarro Soto, Jorge",127.0,0.0
32,"Prohens Espinosa, Rafael",122.0,0.0
33,"Provoste Campillay, Yasna",132.0,0.0
34,"Pugh Olavarría, Kenneth",129.0,0.0
35,"Quintana Leal, Jaime",128.0,0.0
36,"Quinteros Lara, Rabindranath",117.0,0.0
37,"Rincón González, Ximena",130.0,0.0
38,"Sabat Fernández, Marcela",64.0,49.0
39,"Sandoval Plaza, David",133.0,0.0
40,"Soria Quiroga, Jorge",104.0,0.0
41,"Van Rysselberghe Herrera, Jacqueline",92.0,0.0
42,"Von Baer Jahn, Ena",100.0,0.0
