,Senador,Asistencia,Inasistencias justificadas
0,"Allamand Zavala, Andrés",84.0,0.0
1,"Alvear Valenzuela, Soledad",72.0,0.0
2,"Arancibia Reyes, Jorge",82.0,0.0
3,"Ávila Contreras, Nelson",85.0,0.0
4,"Bianchi Chelech, Carlos",82.0,0.0
5,"Cantero Ojeda, Carlos",81.0,0.0
6,"Chadwick Piñera, Andrés",76.0,0.0
7,"Coloma Correa, Juan Antonio",88.0,0.0
8,"Escalona Medina, Camilo",80.0,0.0
9,"Espina Otero, Alberto",89.0,0.0
10,"Flores Labra, Fernando",74.0,0.0
11,"Frei Ruiz-Tagle, Eduardo",85.0,0.0
12,"García Ruminot, José",94.0,0.0
13,"Gazmuri Mujica, Jaime",84.0,0.0
14,"Girardi Lavín, Guido",77.0,0.0
15,"Gómez Urrutia, José Antonio",94.0,0.0
16,"Horvath Kiss, Antonio",90.0,0.0
17,"Kuschel Silva, Carlos Ignacio",81.0,0.0
18,"Larraín Fernández, Hernán",92.0,0.0
19,"Letelier Morel, Juan Pablo",82.0,0.0
20,"Longueira Montes, Pablo",86.0,0.0
21,"Matthei Fornet, Evelyn",88.0,0.0
22,"Muñoz Aburto, Pedro",81.0,0.0
23,"Muñoz Barra, Roberto",79.0,0.0
24,"Naranjo Ortiz, Jaime",82.0,0.0
25,"Navarro Brain, Alejandro",73.0,0.0
26,"Novoa Vásquez, Jovino",89.0,0.0
27,"Núñez Muñoz, Ricardo",79.0,0.0
28,"Ominami Pascual, Carlos",85.0,0.0
29,"Orpis Bouchon, Jaime",94.0,0.0
30,"Pérez Varela, Víctor",84.0,0.0
31,"Pizarro Soto, Jorge",82.0,0.0
32,"Prokurica Prokurica, Baldo",91.0,0.0
33,"Romero Pizarro, Sergio",89.0,0.0
34,"Ruiz-Esquide Jara, Mariano",82.0,0.0
35,"Sabag Castillo, Hosaín",91.0,0.0
36,"Vásquez Úbeda, Guillermo",81.0,0.0
37,"Zaldívar Larraín, Adolfo",79.0,0.0
