,Senador,Asistencia,Inasistencias justificadas
0,"Allamand Zavala, Andrés",41.0,0.0
1,"Allende Bussi, Isabel",152.0,6.0
2,"Alvarado Andrade, Claudio",92.0,0.0
3,"Aravena Acuña, Carmen Gloria",156.0,0.0
4,"Araya Guerrero, Pedro",152.0,0.0
5,"Bianchi Chelech, Carlos",151.0,0.0
6,"Carvajal Ambiado, Loreto",3.0,0.0
7,"Castro Prieto, Juan",152.0,0.0
8,"Chahuán Chahuán, Francisco",159.0,0.0
9,"Coloma Correa, Juan Antonio",159.0,0.0
10,"De Urresti Longton, Alfonso",153.0,0.0
11,"Durana Semir, José Miguel",153.0,0.0
12,"Ebensperger Orrego, Luz Eliana",156.0,0.0
13,"Elizalde Soto, Alvaro",159.0,0.0
14,"Galilea Vial, Rodrigo",151.0,0.0
15,"García Huidobro Sanfuentes, Alejandro",157.0,2.0
16,"García Ruminot, José",159.0,0.0
17,"Girardi Lavín, Guido",151.0,0.0
18,"Goic Boroevic, Carolina",156.0,0.0
19,"Guillier Álvarez, Alejandro",151.0,0.0
20,"Harboe Bascuñán, Felipe",126.0,0.0
21,"Huenchumilla Jaramillo, Francisco",145.0,0.0
22,"Insulza Salinas, José Miguel",155.0,0.0
23,"Kast Sommerhoff, Felipe",153.0,0.0
24,"Lagos Weber, Ricardo",158.0,0.0
25,"Latorre Riveros, Juan Ignacio",159.0,0.0
26,"Letelier Morel, Juan Pablo",158.0,0.0
27,"Montes Cisternas, Carlos",155.0,4.0
28,"Moreira Barros, Iván",154.0,0.0
29,"Muñoz D`Albora, Adriana",155.0,0.0
30,"Navarro Brain, Alejandro",109.0,33.0
31,"Órdenes Neira, Ximena",154.0,0.0
32,"Ossandón Irarrázabal, Manuel José",141.0,0.0
33,"Pérez Varela, Víctor",49.0,0.0
34,"Pizarro Soto, Jorge",159.0,0.0
35,"Prohens Espinosa, Rafael",142.0,0.0
36,"Provoste Campillay, Yasna",158.0,0.0
37,"Pugh Olavarría, Kenneth",151.0,0.0
38,"Quintana Leal, Jaime",151.0,0.0
39,"Quinteros Lara, Rabindranath",155.0,0.0
40,"Rincón González, Ximena",158.0,0.0
41,"Sabat Fernández, Marcela",90.0,0.0
42,"Sandoval Plaza, David",157.0,0.0
43,"Soria Quiroga, Jorge",147.0,0.0
44,"Van Rysselberghe Herrera, Jacqueline",142.0,0.0
45,"Von Baer Jahn, Ena",140.0,0.0
