,Senador,Asistencia,Inasistencias justificadas
0,"Aburto Ochoa, Marcos",39.0,0.0
1,"Arancibia Reyes, Jorge",42.0,0.0
2,"Ávila Contreras, Nelson",39.0,0.0
3,"Boeninger Kausel, Edgardo",39.0,0.0
4,"Bombal Otaegui, Carlos",42.0,0.0
5,"Canessa Robert, Julio",40.0,0.0
6,"Cantero Ojeda, Carlos",39.0,0.0
7,"Cariola Barroilhet, Marco",28.0,0.0
8,"Chadwick Piñera, Andrés",36.0,0.0
9,"Coloma Correa, Juan Antonio",41.0,0.0
10,"Cordero Rusque, Fernando",41.0,0.0
11,"Espina Otero, Alberto",42.0,0.0
12,"Fernández Fernández, Sergio",42.0,0.0
13,"Flores Labra, Fernando",41.0,0.0
14,"Foxley Rioseco, Alejandro",34.0,0.0
15,"Frei Ruiz-Tagle, Carmen",34.0,0.0
16,"Frei Ruiz-Tagle, Eduardo",34.0,0.0
17,"García Ruminot, José",42.0,0.0
18,"Gazmuri Mujica, Jaime",31.0,0.0
19,"Horvath Kiss, Antonio",38.0,0.0
20,"Larraín Fernández, Hernán",37.0,0.0
21,"Lavandero Illanes, Jorge",41.0,0.0
22,"Martínez Busch, Jorge",40.0,0.0
23,"Matthei Fornet, Evelyn",38.0,0.0
24,"Moreno Rojas, Rafael",42.0,0.0
25,"Muñoz Barra, Roberto",42.0,0.0
26,"Naranjo Ortiz, Jaime",30.0,0.0
27,"Novoa Vásquez, Jovino",41.0,0.0
28,"Núñez Muñoz, Ricardo",38.0,0.0
29,"Ominami Pascual, Carlos",41.0,0.0
30,"Orpis Bouchon, Jaime",41.0,0.0
31,"Páez Verdugo, Sergio",35.0,0.0
32,"Parra Muñoz, Augusto",42.0,0.0
33,"Pizarro Soto, Jorge",35.0,0.0
34,"Prokurica Prokurica, Baldo",39.0,0.0
35,"Ríos Santander, Mario",36.0,0.0
36,"Romero Pizarro, Sergio",39.0,0.0
37,"Ruiz De Giorgio, José",42.0,0.0
38,"Ruiz-Esquide Jara, Mariano",41.0,0.0
39,"Sabag Castillo, Hosaín",42.0,0.0
40,"Silva Cimma, Enrique",41.0,0.0
41,"Stange Oelckers, Rodolfo",42.0,0.0
42,"Valdés Subercaseaux, Gabriel",36.0,0.0
43,"Vásquez Úbeda, Guillermo",0.0,0.0
44,"Vega Hidalgo, Ramón",42.0,0.0
45,"Viera-Gallo Quesney, José Antonio",39.0,0.0
46,"Zaldívar Larraín, Adolfo",38.0,0.0
47,"Zaldívar Larraín, Andrés",37.0,0.0
48,"Zurita Camps, Enrique",33.0,0.0
