,Senador,Asistencia,Inasistencias justificadas
0,"Allamand Zavala, Andrés",89.0,0.0
1,"Alvear Valenzuela, Soledad",85.0,4.0
2,"Arancibia Reyes, Jorge",89.0,0.0
3,"Ávila Contreras, Nelson",68.0,0.0
4,"Bianchi Chelech, Carlos",86.0,0.0
5,"Cantero Ojeda, Carlos",91.0,0.0
6,"Chadwick Piñera, Andrés",90.0,0.0
7,"Coloma Correa, Juan Antonio",83.0,0.0
8,"Escalona Medina, Camilo",80.0,0.0
9,"Espina Otero, Alberto",85.0,5.0
10,"Flores Labra, Fernando",81.0,0.0
11,"Frei Ruiz-Tagle, Eduardo",92.0,0.0
12,"García Ruminot, José",89.0,0.0
13,"Gazmuri Mujica, Jaime",84.0,0.0
14,"Girardi Lavín, Guido",85.0,0.0
15,"Gómez Urrutia, José Antonio",90.0,0.0
16,"Horvath Kiss, Antonio",84.0,7.0
17,"Kuschel Silva, Carlos Ignacio",80.0,0.0
18,"Larraín Fernández, Hernán",89.0,0.0
19,"Letelier Morel, Juan Pablo",85.0,0.0
20,"Longueira Montes, Pablo",91.0,0.0
21,"Matthei Fornet, Evelyn",87.0,0.0
22,"Muñoz Aburto, Pedro",86.0,3.0
23,"Muñoz Barra, Roberto",82.0,0.0
24,"Naranjo Ortiz, Jaime",86.0,0.0
25,"Navarro Brain, Alejandro",82.0,0.0
26,"Novoa Vásquez, Jovino",85.0,0.0
27,"Núñez Muñoz, Ricardo",84.0,0.0
28,"Ominami Pascual, Carlos",81.0,0.0
29,"Orpis Bouchon, Jaime",88.0,0.0
30,"Pérez Varela, Víctor",90.0,0.0
31,"Pizarro Soto, Jorge",77.0,0.0
32,"Prokurica Prokurica, Baldo",89.0,3.0
33,"Romero Pizarro, Sergio",92.0,0.0
34,"Ruiz-Esquide Jara, Mariano",86.0,0.0
35,"Sabag Castillo, Hosaín",92.0,0.0
36,"Vásquez Úbeda, Guillermo",82.0,2.0
37,"Zaldívar Larraín, Adolfo",74.0,0.0
