,Senador,Asistencia,Inasistencias justificadas
0,"Aburto Ochoa, Marcos",16.0,0.0
1,"Arancibia Reyes, Jorge",18.0,0.0
2,"Ávila Contreras, Nelson",16.0,0.0
3,"Boeninger Kausel, Edgardo",18.0,0.0
4,"Bombal Otaegui, Carlos",11.0,0.0
5,"Canessa Robert, Julio",17.0,0.0
6,"Cantero Ojeda, Carlos",18.0,0.0
7,"Cariola Barroilhet, Marco",17.0,0.0
8,"Chadwick Piñera, Andrés",17.0,0.0
9,"Coloma Correa, Juan Antonio",13.0,0.0
10,"Cordero Rusque, Fernando",18.0,0.0
11,"Espina Otero, Alberto",18.0,0.0
12,"Fernández Fernández, Sergio",18.0,0.0
13,"Flores Labra, Fernando",17.0,0.0
14,"Foxley Rioseco, Alejandro",15.0,0.0
15,"Frei Ruiz-Tagle, Carmen",18.0,0.0
16,"Frei Ruiz-Tagle, Eduardo",10.0,0.0
17,"García Ruminot, José",18.0,0.0
18,"Gazmuri Mujica, Jaime",17.0,0.0
19,"Horvath Kiss, Antonio",18.0,0.0
20,"Larraín Fernández, Hernán",18.0,0.0
21,"Lavandero Illanes, Jorge",17.0,0.0
22,"Martínez Busch, Jorge",16.0,0.0
23,"Matthei Fornet, Evelyn",16.0,0.0
24,"Moreno Rojas, Rafael",18.0,0.0
25,"Muñoz Barra, Roberto",18.0,0.0
26,"Naranjo Ortiz, Jaime",17.0,0.0
27,"Novoa Vásquez, Jovino",15.0,0.0
28,"Núñez Muñoz, Ricardo",15.0,0.0
29,"Ominami Pascual, Carlos",14.0,0.0
30,"Orpis Bouchon, Jaime",16.0,0.0
31,"Páez Verdugo, Sergio",14.0,0.0
32,"Parra Muñoz, Augusto",18.0,0.0
33,"Pizarro Soto, Jorge",14.0,0.0
34,"Prokurica Prokurica, Baldo",18.0,0.0
35,"Ríos Santander, Mario",15.0,0.0
36,"Romero Pizarro, Sergio",15.0,0.0
37,"Ruiz De Giorgio, José",16.0,0.0
38,"Ruiz-Esquide Jara, Mariano",12.0,0.0
39,"Sabag Castillo, Hosaín",18.0,0.0
40,"Silva Cimma, Enrique",13.0,0.0
41,"Stange Oelckers, Rodolfo",17.0,0.0
42,"Valdés Subercaseaux, Gabriel",16.0,0.0
43,"Vásquez Úbeda, Guillermo",0.0,0.0
44,"Vega Hidalgo, Ramón",16.0,0.0
45,"Viera-Gallo Quesney, José Antonio",18.0,0.0
46,"Zaldívar Larraín, Adolfo",15.0,0.0
47,"Zaldívar Larraín, Andrés",16.0,0.0
48,"Zurita Camps, Enrique",18.0,0.0
