,Senador,Asistencia,Inasistencias justificadas
0,"Aburto Ochoa, Marcos",43.0,0.0
1,"Arancibia Reyes, Jorge",60.0,0.0
2,"Ávila Contreras, Nelson",52.0,0.0
3,"Boeninger Kausel, Edgardo",54.0,0.0
4,"Bombal Otaegui, Carlos",46.0,0.0
5,"Canessa Robert, Julio",54.0,0.0
6,"Cantero Ojeda, Carlos",57.0,0.0
7,"Cariola Barroilhet, Marco",59.0,0.0
8,"Chadwick Piñera, Andrés",57.0,0.0
9,"Coloma Correa, Juan Antonio",59.0,0.0
10,"Cordero Rusque, Fernando",45.0,0.0
11,"Espina Otero, Alberto",57.0,0.0
12,"Fernández Fernández, Sergio",63.0,0.0
13,"Flores Labra, Fernando",49.0,0.0
14,"Foxley Rioseco, Alejandro",49.0,0.0
15,"Frei Ruiz-Tagle, Carmen",42.0,0.0
16,"Frei Ruiz-Tagle, Eduardo",38.0,0.0
17,"García Ruminot, José",58.0,0.0
18,"Gazmuri Mujica, Jaime",63.0,0.0
19,"Horvath Kiss, Antonio",62.0,0.0
20,"Larraín Fernández, Hernán",60.0,0.0
21,"Lavandero Illanes, Jorge",0.0,0.0
22,"Martínez Busch, Jorge",60.0,0.0
23,"Matthei Fornet, Evelyn",56.0,0.0
24,"Moreno Rojas, Rafael",58.0,0.0
25,"Muñoz Barra, Roberto",59.0,0.0
26,"Naranjo Ortiz, Jaime",60.0,0.0
27,"Novoa Vásquez, Jovino",48.0,0.0
28,"Núñez Muñoz, Ricardo",52.0,0.0
29,"Ominami Pascual, Carlos",62.0,0.0
30,"Orpis Bouchon, Jaime",56.0,0.0
31,"Páez Verdugo, Sergio",28.0,0.0
32,"Parra Muñoz, Augusto",62.0,0.0
33,"Pizarro Soto, Jorge",51.0,0.0
34,"Prokurica Prokurica, Baldo",59.0,0.0
35,"Ríos Santander, Mario",38.0,0.0
36,"Romero Pizarro, Sergio",58.0,0.0
37,"Ruiz De Giorgio, José",56.0,0.0
38,"Ruiz-Esquide Jara, Mariano",58.0,0.0
39,"Sabag Castillo, Hosaín",63.0,0.0
40,"Silva Cimma, Enrique",58.0,0.0
41,"Stange Oelckers, Rodolfo",54.0,0.0
42,"Valdés Subercaseaux, Gabriel",35.0,0.0
43,"Vásquez Úbeda, Guillermo",35.0,0.0
44,"Vega Hidalgo, Ramón",60.0,0.0
45,"Viera-Gallo Quesney, José Antonio",57.0,0.0
46,"Zaldívar Larraín, Adolfo",53.0,0.0
47,"Zaldívar Larraín, Andrés",55.0,0.0
48,"Zurita Camps, Enrique",48.0,0.0
