,Senador,Asistencia,Inasistencias justificadas
0,"Allamand Zavala, Andrés",81.0,0.0
1,"Allende Bussi, Isabel",76.0,13.0
2,"Araya Guerrero, Pedro",84.0,2.0
3,"Bianchi Chelech, Carlos",85.0,0.0
4,"Chahuán Chahuán, Francisco",87.0,3.0
5,"Coloma Correa, Juan Antonio",88.0,0.0
6,"De Urresti Longton, Alfonso",79.0,2.0
7,"Espina Otero, Alberto",72.0,2.0
8,"García Huidobro Sanfuentes, Alejandro",83.0,7.0
9,"García Ruminot, José",86.0,2.0
10,"Girardi Lavín, Guido",85.0,1.0
11,"Goic Boroevic, Carolina",79.0,0.0
12,"Guillier Álvarez, Alejandro",82.0,0.0
13,"Harboe Bascuñán, Felipe",76.0,8.0
14,"Horvath Kiss, Antonio",49.0,45.0
15,"Lagos Weber, Ricardo",74.0,14.0
16,"Larraín Fernández, Hernán",81.0,7.0
17,"Letelier Morel, Juan Pablo",83.0,1.0
18,"Montes Cisternas, Carlos",90.0,0.0
19,"Moreira Barros, Iván",72.0,10.0
20,"Muñoz D`Albora, Adriana",80.0,6.0
21,"Navarro Brain, Alejandro",66.0,3.0
22,"Orpis Bouchon, Jaime",0.0,85.0
23,"Ossandón Irarrázabal, Manuel José",77.0,8.0
24,"Pérez San Martín, Lily",77.0,2.0
25,"Pérez Varela, Víctor",85.0,2.0
26,"Pizarro Soto, Jorge",83.0,3.0
27,"Prokurica Prokurica, Baldo",86.0,1.0
28,"Quintana Leal, Jaime",84.0,0.0
29,"Quinteros Lara, Rabindranath",84.0,7.0
30,"Rincón González, Ximena",0.0,0.0
31,"Rossi Ciocca, Fulvio",45.0,2.0
32,"Tuma Zedán, Eugenio",84.0,3.0
33,"Van Rysselberghe Herrera, Jacqueline",80.0,0.0
34,"Von Baer Jahn, Ena",88.0,0.0
35,"Walker Prieto, Ignacio",84.0,0.0
36,"Walker Prieto, Patricio",78.0,2.0
37,"Zaldívar Larraín, Andrés",84.0,1.0
