,Senador,Asistencia,Inasistencias justificadas
0,"Allamand Zavala, Andrés",0.0,0.0
1,"Allende Bussi, Isabel",85.0,5.0
2,"Alvear Valenzuela, Soledad",88.0,0.0
3,"Bianchi Chelech, Carlos",73.0,0.0
4,"Cantero Ojeda, Carlos",80.0,6.0
5,"Chadwick Piñera, Andrés",0.0,0.0
6,"Chahuán Chahuán, Francisco",92.0,0.0
7,"Coloma Correa, Juan Antonio",91.0,1.0
8,"Escalona Medina, Camilo",84.0,0.0
9,"Espina Otero, Alberto",82.0,3.0
10,"Frei Ruiz-Tagle, Eduardo",77.0,0.0
11,"García Huidobro Sanfuentes, Alejandro",89.0,0.0
12,"García Ruminot, José",89.0,0.0
13,"Girardi Lavín, Guido",88.0,0.0
14,"Gómez Urrutia, José Antonio",91.0,0.0
15,"Horvath Kiss, Antonio",89.0,0.0
16,"Kuschel Silva, Carlos Ignacio",90.0,0.0
17,"Lagos Weber, Ricardo",88.0,0.0
18,"Larraín Fernández, Hernán",88.0,3.0
19,"Larrain Peña, Carlos",74.0,0.0
20,"Letelier Morel, Juan Pablo",69.0,0.0
21,"Longueira Montes, Pablo",0.0,0.0
22,"Matthei Fornet, Evelyn",0.0,0.0
23,"Muñoz Aburto, Pedro",73.0,0.0
24,"Navarro Brain, Alejandro",71.0,0.0
25,"Novoa Vásquez, Jovino",80.0,0.0
26,"Orpis Bouchon, Jaime",91.0,0.0
27,"Pérez San Martín, Lily",87.0,0.0
28,"Pérez Varela, Víctor",84.0,0.0
29,"Pizarro Soto, Jorge",89.0,0.0
30,"Prokurica Prokurica, Baldo",91.0,0.0
31,"Quintana Leal, Jaime",86.0,0.0
32,"Rincón González, Ximena",92.0,0.0
33,"Rossi Ciocca, Fulvio",83.0,2.0
34,"Ruiz-Esquide Jara, Mariano",70.0,0.0
35,"Sabag Castillo, Hosaín",92.0,0.0
36,"Tuma Zedán, Eugenio",84.0,0.0
37,"Uriarte Herrera, Gonzalo",78.0,0.0
38,"Von Baer Jahn, Ena",84.0,0.0
39,"Walker Prieto, Ignacio",92.0,0.0
40,"Walker Prieto, Patricio",92.0,0.0
41,"Zaldívar Larraín, Andrés",90.0,0.0
