,Senador,Asistencia,Inasistencias justificadas
0,"Allende Bussi, Isabel",54.0,22.0
1,"Aravena Acuña, Carmen Gloria",72.0,0.0
2,"Araya Guerrero, Pedro",68.0,0.0
3,"Bianchi Retamales, Karim",65.0,10.0
4,"Campillai Rojas, Fabiola",61.0,0.0
5,"Carvajal Ambiado, Loreto",68.0,0.0
6,"Castro González, Juan Luis",63.0,2.0
7,"Castro Prieto, Juan",70.0,0.0
8,"Chahuán Chahuán, Francisco",74.0,3.0
9,"Coloma Correa, Juan Antonio",75.0,0.0
10,"Cruz-Coke Carvallo, Luciano",73.0,3.0
11,"De Urresti Longton, Alfonso",72.0,0.0
12,"Durana Semir, José Miguel",74.0,0.0
13,"Ebensperger Orrego, Luz Eliana",73.0,0.0
14,"Edwards Silva, Rojo",68.0,0.0
15,"Elizalde Soto, Alvaro",75.0,0.0
16,"Espinoza Sandoval, Fidel",62.0,2.0
17,"Flores García, Iván",39.0,11.0
18,"Gahona Salazar, Sergio",61.0,6.0
19,"Galilea Vial, Rodrigo",67.0,0.0
20,"García Ruminot, José",73.0,3.0
21,"Gatica Bertin, María José",73.0,4.0
22,"Huenchumilla Jaramillo, Francisco",64.0,0.0
23,"Insulza Salinas, José Miguel",69.0,0.0
24,"Kast Sommerhoff, Felipe",64.0,0.0
25,"Keitel Bianchi, Sebastián",77.0,0.0
26,"Kusanovic Glusevic, Alejandro",69.0,6.0
27,"Kuschel Silva, Carlos Ignacio",74.0,0.0
28,"Lagos Weber, Ricardo",68.0,0.0
29,"Latorre Riveros, Juan Ignacio",68.0,2.0
30,"Macaya Danus, Javier",69.0,0.0
31,"Moreira Barros, Iván",72.0,0.0
32,"Núñez Arancibia, Daniel",74.0,0.0
33,"Núñez Urrutia, Paulina",53.0,2.0
34,"Órdenes Neira, Ximena",75.0,0.0
35,"Ossandón Irarrázabal, Manuel José",75.0,0.0
36,"Pascual Grau, Claudia",73.0,2.0
37,"Prohens Espinosa, Rafael",68.0,0.0
38,"Provoste Campillay, Yasna",62.0,2.0
39,"Pugh Olavarría, Kenneth",64.0,0.0
40,"Quintana Leal, Jaime",74.0,0.0
41,"Rincón González, Ximena",72.0,0.0
42,"Saavedra Chandía, Gastón",73.0,0.0
43,"Sandoval Plaza, David",76.0,0.0
44,"Sanhueza Dueñas, Gustavo",76.0,0.0
45,"Sepúlveda Orbenes, Alejandra",75.0,3.0
46,"Soria Quiroga, Jorge",43.0,2.0
47,"Van Rysselberghe Herrera, Enrique",76.0,0.0
48,"Velásquez Núñez, Esteban",62.0,0.0
49,"Walker Prieto, Matías",73.0,0.0
